Fare,Pclass,Age,Id,Survived,Sex
9.5,3,20,442,0,0
110.883,1,28,307,1,1
7.925,3,44,415,1,0
10.5,2,26,620,0,0
81.8583,1,4,446,1,0
0,1,40,264,0,0
7.8958,3,29,456,1,0
8.05,3,28,122,0,0
7.2292,3,28,37,1,0
7.8958,3,28,336,0,0
7.0542,3,51,632,0,0
39.4,1,16,854,1,1
7.05,3,25,785,0,0
113.275,1,31,216,1,1
8.6625,3,27,822,1,0
7.25,3,21,492,0,0
7.6292,3,28,503,0,1
49.5,1,22,540,1,1
8.6625,3,17,501,0,0
79.2,1,46,790,0,0
61.9792,1,65,55,0,0
15.5,3,28,365,0,0
27.9,3,40,361,0,0
7.8958,3,25,795,0,0
14.4542,3,15,831,1,1
39.6875,3,14,687,0,0
34.375,3,21,437,0,1
13,2,48,464,0,0
8.0292,3,15,23,1,1
6.975,3,45,130,0,0
15.05,2,28,182,0,0
13,2,32,191,1,1
7.775,3,28,108,1,0
66.6,1,29,337,0,0
18.75,2,24,438,1,1
18.75,2,3,408,1,0
7.8542,3,28,282,0,0
7.775,3,18,808,0,1
90,1,35,487,1,1
7.75,3,31,750,0,0
76.7292,1,27,682,1,0
33,2,28,597,1,1
15.2458,3,28,710,1,0
57,1,31,691,1,0
36.75,2,19,146,0,0
7.75,3,22,142,1,1
13,2,25,135,0,0
30,1,29,783,0,0
7.2292,3,28,532,0,0
7.2292,3,28,569,0,0
14.5,2,24,248,1,1
83.475,1,35,231,1,1
79.65,1,18,586,1,1
11.1333,3,4,870,1,0
7.925,3,37,105,0,0
52,1,28,670,1,1
7.8792,3,28,360,1,1
7.7958,3,18,689,0,0
16.1,3,21,625,0,0
30.5,1,32,633,1,0
56.9292,1,30,310,1,1
0,3,19,303,0,0
25.9292,1,48,863,1,1
7.75,3,28,199,1,1
31,1,30,843,1,1
76.7292,1,48,646,1,0
14.4542,3,26,74,0,0
53.1,1,27,725,1,0
7.25,3,22,377,1,1
10.5,2,62,571,1,0
26,2,35,21,0,0
7.925,3,20,841,0,0
14.5,3,19,576,0,0
30.5,1,28,299,1,0
13.5,2,59,233,0,0
12.525,2,51,151,0,0
13,2,25,344,0,0
7.925,3,26,3,1,1
15,2,47,587,0,0
16,2,55,16,1,1
211.338,1,43,780,1,1
56.4958,3,28,644,1,0
53.1,1,33,810,1,1
13,2,30,748,1,1
11.5,2,21,862,0,0
10.4625,3,2,206,0,1
82.1708,1,28,35,0,0
8.05,3,44,697,0,0
7.8542,3,32,570,1,0
227.525,1,42,381,1,1
7.75,3,28,369,1,1
13,2,34,723,0,0
51.8625,1,28,458,1,1
30.5,1,52,450,1,0
8.05,3,28,96,0,0
7.8958,3,28,740,0,0
211.338,1,29,731,1,1
19.9667,3,28,491,0,0
0,1,28,816,0,0
8.05,3,29,91,0,0
263,1,23,89,1,1
120,1,36,391,1,0
15.75,2,40,162,1,1
26.55,1,62,556,0,0
15.5,3,40,189,0,0
9.35,3,18,856,1,1
7.2292,3,23.5,297,0,0
8.05,3,19,284,1,0
12.475,3,5,778,1,1
13.5,2,45,707,1,1
6.75,3,19,144,0,0
133.65,1,28,335,1,1
41.5792,2,22,609,1,1
26,2,28,427,1,1
9.225,3,20,683,0,0
7.7958,3,27,147,1,0
8.6833,3,31,798,1,1
26.25,2,7,536,1,1
8.05,3,22,589,0,0
13,2,39,796,0,0
7.225,3,40,662,0,0
27.7208,1,40,31,0,0
34.0208,1,47,516,0,0
35.5,1,28,24,1,0
10.5,2,19,227,1,0
7.75,3,28,197,0,0
9.5,3,16,283,0,0
7.225,3,15,876,1,1
26,2,39,706,0,0
7.925,3,21,116,0,0
56.4958,3,28,170,0,0
14.5,3,28,539,0,0
23.25,3,28,331,1,1
134.5,1,41,338,1,1
19.9667,3,28,452,0,0
26.2875,1,42,708,1,0
52,1,31,672,0,0
7.8958,3,35,848,0,0
7.75,3,28,275,1,1
11.5,2,18,145,0,0
14.4583,3,17,115,0,1
46.9,3,1,387,0,0
73.5,2,21,73,0,0
55.9,1,50,435,0,0
31.3875,3,3,262,1,0
56.9292,1,49,600,1,0
29.7,1,58,488,0,0
247.521,1,50,300,1,1
7.8958,3,19,567,0,0
7.8958,3,28,101,0,1
9.5,3,28,356,0,0
29.125,3,39,886,0,1
8.05,3,28,838,0,0
7.75,3,28,561,0,0
7.8958,3,22,288,0,0
10.5,2,50,459,1,1
26.55,1,62,253,0,0
7.925,3,28,393,0,0
18,3,18,39,0,1
134.5,1,40,320,1,1
7.8792,3,19,45,1,1
8.1125,3,28,445,1,0
79.2,1,28,257,1,1
78.85,1,26,291,1,1
7.75,3,28,301,1,1
7.8292,3,28,654,1,1
52.5542,1,47,872,1,1
71,1,70,746,0,0
13.8625,2,28,548,1,0
10.5,2,50,527,1,1
66.6,1,22,152,1,1
30,2,25,581,1,1
8.05,3,28,305,0,0
26,2,24,317,1,1
16.1,3,26,618,0,1
0,1,28,634,0,0
29.125,3,8,788,0,0
39.6875,3,2,825,0,0
31.3875,3,38,26,1,1
15.5,3,28,187,1,1
56.4958,3,28,693,1,0
7.925,3,31,745,1,0
8.05,3,16,221,1,0
14.5,3,40.5,154,0,0
7.775,3,22,555,1,1
4.0125,3,20,379,0,0
10.5,2,29,67,1,1
10.5,2,16,842,0,0
18.7875,3,26,208,1,0
35.5,1,45,340,0,0
26,2,2,341,1,0
29.7,1,28,840,1,0
8.85,3,24,294,0,1
7.8958,3,40,562,0,0
20.575,3,1,789,1,0
23.45,3,28,784,0,0
20.2125,3,41,255,0,1
27.75,2,5,59,1,1
15.0458,2,23,136,0,0
10.5,2,32,71,0,0
57,1,17,782,1,1
93.5,1,52,821,1,1
37.0042,2,1,828,1,0
10.5,2,27,718,1,1
27.75,2,33,473,1,1
8.05,3,22,113,0,0
120,1,14,436,1,1
71,1,36,541,1,1
8.05,3,45,339,1,0
76.7292,1,49,53,1,1
8.6625,3,20,726,0,0
30,1,19,888,1,1
55.9,1,39,578,1,1
79.65,1,39,559,1,1
46.9,3,14,684,0,0
15.85,3,33,86,1,1
77.9583,1,63,276,1,1
5,1,33,873,0,0
8.05,3,28,564,0,0
59.4,1,54,514,1,1
26,2,42,433,1,1
10.5,2,34,517,1,1
10.5,2,17,85,1,1
25.4667,3,28,410,0,1
8.05,3,43,669,0,0
7.0458,3,29,478,0,0
108.9,1,18,506,0,0
34.375,3,48,737,0,1
7.7375,3,28,779,0,0
13.8583,2,27,867,1,1
42.4,1,28,603,0,0
13,2,18,418,1,1
15.9,3,3,349,1,0
7.8958,3,28,879,0,0
13,2,34,577,1,1
23.25,3,28,302,1,0
15.2458,3,28,141,0,1
26.2875,1,35,702,1,0
80,1,62,830,1,1
7.05,3,25,885,0,0
153.463,1,40,610,1,1
23,2,34,99,1,1
26,2,54,583,0,0
151.55,1,0.92,306,1,0
8.05,3,24.5,677,0,0
7.2292,3,15,353,0,0
24,2,28,875,1,1
83.1583,1,39,836,1,1
13,2,30,179,0,0
7.775,3,19,380,0,0
69.55,3,28,793,0,1
7.4958,3,18,787,1,1
91.0792,1,19,292,1,1
7.8292,3,28,553,0,0
26,2,54,250,0,0
82.1708,1,28,376,1,1
7.925,3,27,217,1,1
8.05,3,28,565,0,1
15.5,3,28,47,0,0
120,1,11,803,1,0
15.9,3,9,490,1,0
69.3,1,24,370,1,1
49.5042,1,71,494,0,0
8.4333,3,21,653,0,0
13,2,28,636,1,1
7.05,3,24,211,0,0
10.5,2,57,773,0,1
8.05,3,28,78,0,0
0,3,25,272,1,0
53.1,1,37,138,0,0
211.338,1,15,690,1,1
7.7375,3,28,728,1,1
9,3,47,874,0,0
8.05,3,16,575,0,0
512.329,1,36,680,1,0
7.75,3,21,502,0,1
24,2,30,309,0,0
30.0708,2,32.5,123,0,0
13,2,28,18,1,0
16.1,3,28,348,1,1
25.9292,1,49,797,1,1
7.05,3,38,466,0,0
110.883,1,49,699,0,0
9.8417,3,18,678,1,1
7.55,3,28,649,0,0
30,1,80,631,1,0
11.5,2,23,530,0,0
13.5,2,28,563,0,0
110.883,1,17,551,1,0
26.55,1,45,188,1,0
19.5,2,13,447,1,1
55,1,28,167,1,1
10.5,2,19,239,0,0
10.5,2,21,57,1,1
151.55,1,25,499,0,1
7.75,3,28,829,1,0
262.375,1,21,743,1,1
13,2,34,22,1,0
39.6875,3,41,639,0,1
7.75,3,28,460,0,0
7.25,3,20.5,228,0,0
51.8625,1,54,7,0,0
227.525,1,18,701,1,1
15.5,3,28,613,1,1
27.9,3,10,820,0,0
9.5,3,28,201,0,0
12.35,2,30,323,1,1
8.05,3,30.5,815,0,0
26,2,36.5,149,0,0
10.5,2,24,235,0,0
151.55,1,22,709,1,1
8.1583,3,19,68,0,0
19.5,2,41,273,1,1
26,2,32,544,1,0
0,2,28,733,0,0
7.7333,3,28,698,1,1
26,2,33,507,1,1
15.7417,3,1,382,1,1
26,2,3,194,1,0
30.0708,2,14,10,1,1
35,1,28,352,0,0
83.475,1,45,63,0,0
13,2,19,192,0,0
164.867,1,31,319,1,1
19.2583,3,0.75,645,1,1
63.3583,1,23,98,1,0
26.25,2,8,238,1,1
24.15,3,36,596,0,0
7.225,3,28,599,0,0
26,2,50,260,1,1
9.8375,3,22,475,0,1
13,2,50,724,0,0
7.8958,3,28,651,0,0
13,2,40,347,1,1
13,2,24,346,1,1
7.55,3,28,236,0,1
32.5,2,34,417,1,1
11.2417,3,14,40,1,1
13,2,24,200,0,1
7.8958,3,22,522,0,0
9.475,3,40,41,0,1
21,2,27,42,0,1
86.5,1,33,760,1,1
26,2,34,100,0,0
7.75,3,29,511,1,0
26,2,29,134,1,1
15.7417,3,20,623,1,0
13,2,42,289,1,0
6.2375,3,61,327,0,0
7.8958,3,28,43,0,0
30,1,28,741,1,0
13,2,30,214,0,0
27.9,3,9,635,0,1
9.825,3,20,114,0,1
53.1,1,35,4,1,1
26.55,1,28,508,1,0
90,1,38,225,1,0
106.425,1,50,545,0,0
26.55,1,35,605,1,0
0,2,28,467,0,0
69.55,3,28,864,0,1
7.75,3,16,209,1,1
14.4583,3,28,496,0,0
13,2,38,358,0,1
7.775,3,31,806,0,0
23,2,54,775,1,1
7.225,3,25,694,0,0
65,2,48,755,1,1
7.75,3,28,48,1,1
7.4958,3,24,515,0,0
7.925,3,20,665,1,0
23,2,4,751,1,1
8.6625,3,28,159,0,0
30.5,1,55,493,0,0
14.5,2,0.67,756,1,0
7.225,3,22,554,1,0
31.275,3,6,814,0,1
52,1,47,111,0,0
38.5,1,47,463,0,0
12.475,3,30,80,1,1
26.55,1,58,12,1,1
8.3,3,18,835,0,0
9.5,3,33,753,0,0
7.7958,3,21,392,1,0
26,2,2,531,1,1
89.1042,1,28,850,1,1
12.875,2,36,293,0,0
13,2,52,715,0,0
56.4958,3,32,75,1,0
29.125,3,7,279,0,0
7.2292,3,28,525,0,0
7.775,3,28,668,0,0
22.3583,3,28,129,1,1
263,1,19,28,0,0
26,2,36,519,1,1
7.8958,3,33,882,0,0
7.65,3,19,716,0,0
110.883,1,39,582,1,1
7.8542,3,18,176,0,0
20.525,3,33,549,0,0
15.85,3,24,143,1,1
106.425,1,30,538,1,1
26.3875,1,36,573,1,0
52,1,28,476,0,0
8.05,3,19,373,0,0
32.3208,1,61,626,0,0
73.5,2,21,121,0,0
56.4958,3,28,827,0,0
13,2,36,328,1,1
12.35,2,57,627,0,0
21.075,3,2,8,0,0
39,2,1,184,1,0
41.5792,2,3,44,1,1
11.1333,3,27,9,1,1
25.4667,3,28,486,0,1
211.5,1,27,378,0,0
13,2,28,444,1,1
9,3,22,81,0,0
10.5,2,23,399,0,0
46.9,3,16,72,0,1
9.825,3,21,403,0,1
151.55,1,2,298,0,1
61.3792,1,51,156,0,0
26.55,1,60,695,0,0
26,2,19,547,1,1
52.5542,1,42,622,1,0
8.6625,3,42,350,0,0
26.25,2,31,638,0,0
24.15,3,30,800,0,1
47.1,1,28,84,0,0
6.4375,3,34.5,844,0,0
9.5,3,29,82,1,0
8.05,3,35,615,0,0
12.475,3,27,824,1,1
227.525,1,38,717,1,1
6.4958,3,34,203,0,0
7.75,3,28,594,0,1
26.2833,1,19,137,1,1
52,1,48,713,1,0
7.8958,3,38,109,0,0
9.5,3,24,771,0,0
9.225,3,23,351,0,0
133.65,1,50,661,1,0
7.55,3,23,650,1,1
39.6,1,48,557,1,1
55.4417,1,25,371,1,0
24.15,3,28,518,0,0
7.925,3,17,69,1,1
22.025,3,4,185,1,1
16.1,3,28.5,736,0,0
18.7875,3,11,732,0,0
7.225,3,28,523,0,0
24.15,3,39,812,0,0
77.2875,1,54,125,0,0
221.779,1,28,528,0,0
146.521,1,28,32,1,1
27.75,1,30,453,0,0
135.633,1,36,326,1,1
15.5,3,28,242,1,1
57.9792,1,16,330,1,1
14.4542,3,18,703,0,1
9.8458,3,20,877,0,0
7.925,3,21,174,0,0
26.55,1,48,461,1,0
0,2,28,414,0,0
49.5042,1,24,711,1,1
90,1,33,413,1,1
7.925,3,25,730,0,1
21,2,35,212,1,1
35.5,1,56,648,1,0
12,2,17,390,1,1
7.2292,3,28,368,1,1
8.05,3,18,205,1,0
0,1,39,807,0,0
7.2292,3,20,763,1,0
263,1,64,439,0,0
9.5875,3,63,484,1,1
7.775,3,74,852,0,0
14.4,3,28,424,0,1
12.475,3,6,752,1,0
86.5,1,16,505,1,1
79.2,1,60,588,1,0
29,2,22,324,1,1
7.05,3,20,132,0,0
21.075,3,8,25,0,1
23,2,18,652,1,1
73.5,2,32,666,0,0
7.8542,3,48,772,0,0
69.3,1,24,642,1,1
19.2583,3,24,859,1,1
16.7,3,4,11,1,1
8.6625,3,17,164,0,0
26,2,44,855,0,1
20.525,3,9,166,1,0
7.55,3,42,846,0,0
11.2417,3,12,126,1,0
7.7875,3,28,83,1,1
33,2,6,721,1,1
13.7917,2,23,474,1,1
7.7958,3,28,757,0,0
10.5,2,35,813,0,0
20.575,3,26,94,0,0
86.5,1,30,258,1,1
31,1,40,210,1,0
7.925,3,39,401,1,0
56.4958,3,26,510,1,0
7.8542,3,19,193,1,1
13,2,31,674,1,0
8.05,3,34,462,0,0
7.875,3,29,423,0,0
8.05,3,28,465,0,0
30.6958,1,28,794,0,0
7.75,3,18,776,0,0
7.2292,3,13,781,1,1
7.775,3,25,443,0,0
120,1,36,764,1,1
17.8,3,25,354,0,0
8.05,3,51,223,0,0
7.125,3,35,591,0,0
56.4958,3,32,839,1,0
90,1,44,246,0,0
8.05,3,20,13,0,0
512.329,1,35,738,1,0
26,2,19,428,1,1
7.75,3,45,277,0,1
77.2875,1,21,103,0,0
26.2875,1,36,513,1,0
7.7958,3,24,500,0,0
26.25,2,45,441,1,1
14.4542,3,27,621,0,0
8.6625,3,30,535,0,1
46.9,3,43,679,0,1
77.9583,1,21,628,1,1
78.2667,1,54,497,1,1
13.4167,3,4,692,1,1
39,2,40,671,1,1
7.75,3,32,891,0,0
26,2,46,398,0,0
7.75,3,22,290,1,1
28.7125,1,50,178,0,1
8.05,3,32,430,1,0
7.8958,3,19,647,0,0
26.55,1,51,858,1,0
91.0792,1,25,485,1,0
7.75,3,65,281,0,0
35.5,1,28,56,1,0
7.925,3,23,817,0,1
26,2,29,54,1,1
21,2,30,727,1,1
17.4,3,36,560,1,1
52.5542,1,37,249,1,0
11.1333,3,1,173,1,1
30,1,26,890,1,0
39.6875,3,1,165,0,0
7.75,3,40.5,526,0,0
20.525,3,31,329,1,1
26.25,2,31,802,1,1
51.4792,1,53,572,1,1
18.75,2,0.83,832,1,0
15.85,3,32,207,0,0
9.5,3,30,287,1,0
7.8542,3,26,316,1,1
80,1,38,62,1,1
15.2458,3,28,66,1,0
57.9792,1,44,524,1,1
113.275,1,23,394,1,1
65,2,24,616,1,1
27.7208,1,28,296,0,0
12.35,2,28,304,1,1
263,1,24,342,1,1
27.7208,1,44,195,1,1
0,2,28,278,0,0
13,2,36,345,0,0
31.275,3,11,543,0,1
75.25,1,60,367,1,1
13,2,36,388,1,1
164.867,1,45,857,1,1
6.75,3,18,655,0,1
262.375,1,18,312,1,1
7.25,3,59,95,0,0
12.2875,3,2,480,1,1
8.7125,3,28,585,0,0
10.1708,3,19,688,0,0
135.633,1,35,270,1,1
50,1,28,186,0,0
30.6958,1,56,175,0,0
8.05,3,21,38,0,0
39,2,4,619,1,1
27,2,24,601,1,1
46.9,3,9,481,0,0
7.775,3,25,268,1,0
23.45,3,28,889,0,1
8.5167,3,0.42,804,1,0
19.2583,3,0.75,470,1,1
7.5208,3,22,479,0,0
76.2917,1,32,219,1,1
8.6625,3,20,405,0,1
7.8792,3,28,359,1,1
16.1,3,28,432,1,1
31.3875,3,5,234,1,1
7.25,3,25,786,0,0
146.521,1,58,196,1,1
11.5,2,18,758,0,0
13,2,32.5,124,1,1
13,2,42,150,0,0
89.1042,1,49,454,1,0
29,2,0.83,79,1,0
7.75,3,28,574,1,1
108.9,1,17,308,1,1
13,2,23,659,0,0
93.5,1,30,521,1,1
78.2667,1,52,592,1,1
26,2,25,881,1,1
7.8958,3,28,77,0,0
16.1,3,28,640,0,0
83.1583,1,24,311,1,1
6.975,3,27,805,1,0
7.125,3,41,762,0,0
12.65,2,28,400,1,1
83.1583,1,56,880,1,1
7.65,3,21,107,1,1
24.15,3,28,110,1,1
7.75,3,70.5,117,0,0
7.7333,3,16,157,1,1
512.329,1,35,259,1,1
13,2,42,866,1,1
7.75,3,30.5,768,0,1
30.5,1,27,608,1,0
7.8542,3,20,92,0,0
20.25,3,35,280,1,1
26.55,1,34,448,1,0
7.75,3,28,614,0,0
71.2833,1,38,2,1,1
8.6542,3,33,104,0,0
7.75,3,28,33,1,1
16.7,3,24,395,1,1
8.6625,3,21,837,0,0
10.5,2,36,266,0,0
15.2458,3,29,256,1,1
39.6,1,28,767,0,0
15.85,3,28,404,0,0
24.15,3,24,566,0,0
7.225,3,28,27,0,0
31.275,3,9,542,0,1
7.8792,3,28,29,1,1
26.55,1,65,457,0,0
15.55,3,36,606,0,0
7.2292,3,22,61,0,0
7.75,3,28,777,0,0
52,1,35,384,1,1
7.1417,3,24,128,1,0
7.75,3,51,407,0,0
69.55,3,28,325,0,0
7.925,3,32,580,1,0
36.75,2,8,550,1,0
19.2583,3,5,449,1,1
9.35,3,22,226,0,0
22.525,3,28,509,0,0
13,2,28,343,0,0
22.3583,3,28,534,1,1
16.1,3,24,744,0,0
13,2,30,419,0,0
153.463,1,58,269,1,1
153.463,1,38,333,0,0
7.8542,3,31,397,0,1
14.4,3,34,617,0,0
8.3625,3,32,770,0,0
26.55,1,28,431,1,0
14.5,3,47,133,0,1
8.05,3,28,88,0,0
55,1,22,357,1,1
7.8875,3,26,811,0,0
77.9583,1,51,766,1,1
7.8958,3,28,602,0,0
7.225,3,28,20,1,1
